"id","label","relatedto","relatedtohow","source","sourcetype","spatialtype","methodtype","georeferencingby","georeferencingdesc","certainty","literature","wkt"
21,"Penta",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.797926 40.761542)"
22,"Phlegraean Fields","https://sws.geonames.org/3181017","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Supervolcano","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Orsi et al., 1996","POINT(14.006678 40.824092)"
23,"Ponti Rossi (Naples)",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997;Giaccio et al., 2008;Pappalardo et al., 1999","POINT(14.259352 40.873050)"
24,"Pozzuoli","https://sws.geonames.org/3169983","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Bight ","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Orsi et al., 1996","POINT(14.088986 40.821537)"
25,"Pucara",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997","POINT(14.485843 40.635215)"
26,"Punta Marmolite (Naples)","https://sws.geonames.org/3172391","fsl:partlyMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Pappalardo et al., 1999","POINT(14.094006 40.883029)"
27,"Sant‘ Agata dei due Golfi",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997","POINT(14.365262 40.605667)"
28,"Sant‘ Angelo a Scala",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.896712 40.962500)"
29,"San Marco",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997","POINT(14.338069 41.036930)"
30,"San Nicola La Strada",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997","POINT(14.317772 41.050134)"
